,Date Created,Sentiment_pred,Mode
75,2017-12-27,"[-1, -1, 1, -1, -1, -1, -1, 1, 1, -1]",-1
76,2017-12-28,"[-1, 1, 1, -1, -1, -1, -1, 1, 1, -1]",-1
77,2017-12-29,"[1, 1, 1, 1, -1, 1, -1, -1, -1, -1]",1
78,2017-12-30,"[1, 1, -1, 1, 1, -1, 1, 1, 1, 1]",1
79,2017-12-31,"[1, 1, 1, 1, 1]",1
80,2018-01-01,"[-1, 1, -1, 1, -1, 1, -1, -1, -1, 1]",-1
81,2018-01-02,"[1, 1, 1, -1, -1, -1, 1, -1, -1, -1]",-1
82,2018-01-03,"[-1, -1, 1, -1, -1, -1, 1, 1, -1, 1]",-1
83,2018-01-04,"[1, -1, -1, -1, -1, -1, -1, -1, 1, 1]",-1
84,2018-01-05,"[-1, 1, -1, -1, -1, 1, 1, -1, 1, -1]",-1
85,2018-01-06,"[1, -1, 1, -1, 1, 1, 1, 1, 1, -1]",1
86,2018-01-07,"[1, 1, 1, -1, 1, -1, 1, 1, 1]",1
87,2018-01-08,"[-1, 1, -1, -1, -1, -1, -1, -1, 1, 1]",-1
88,2018-01-09,"[-1, -1, 1, 1, 1, -1, 1, 1, -1, 1]",1
89,2018-01-10,"[-1, -1, 1, -1, 1, 1, 1, -1, -1, -1]",-1
90,2018-01-11,"[1, 1, 1, 1, -1, 1, -1, -1, -1, 1]",1
91,2018-01-12,"[1, -1, -1, 1, -1, 1, 1, 1, -1, -1]",1
92,2018-01-13,"[1, -1, 1, 1, -1, 1, 1, 1, 1, 1]",1
93,2018-01-14,"[-1, 1, -1]",-1
94,2018-01-15,"[1, 1, 1, -1, 1, 1, -1, 1, -1, 1]",1
95,2018-01-16,"[-1, -1, 1, -1, -1, 1, -1, 1, 1, -1]",-1
96,2018-01-17,"[1, -1, -1, -1, 1, 1, 1, -1, 1, 1]",1
97,2018-01-18,"[-1, -1, 1, 1, 1, 1, 1, 1, -1, -1]",1
