,Date Created,Sentiment_pred,Mode
321,2018-08-30,"[-1, -1, -1, -1, -1, -1, -1, 1, -1, -1]",-1
322,2018-08-31,"[1, 1, -1, 1, 1, 1, 1, 1, -1, -1]",1
323,2018-09-01,"[1, -1, 1, 1, 1, -1, -1, -1, -1, -1]",-1
324,2018-09-02,"[1, 1, -1, 1, 1, -1, -1, -1, -1, 1]",1
325,2018-09-03,"[1, 1, -1, -1, -1, 1, 1, -1, 1, 1]",1
326,2018-09-04,"[1, 1, 1, 1, 1, 1, 1, 1, 1, -1]",1
327,2018-09-05,"[1, 1, 1, 1, -1, 1, -1, -1, -1, 1]",1
328,2018-09-06,"[1, 1, -1, -1, 1, 1, -1, -1, -1, 1]",1
329,2018-09-07,"[-1, 1, -1, -1, -1, -1, 1, 1, -1, 1]",-1
330,2018-09-08,"[-1, -1, -1, 1, 1, 1, -1, 1, 1, 1]",1
331,2018-09-09,"[1, 1, -1, -1, -1, 1, -1, -1, -1, -1]",-1
332,2018-09-10,"[-1, -1, 1, -1, -1, -1, 1, -1, -1, -1]",-1
333,2018-09-11,"[-1, 1, 1, 1, 1, -1, -1, -1, -1, -1]",-1
334,2018-09-12,"[-1, -1, -1, 1, -1, 1, -1, -1, -1, -1]",-1
335,2018-09-13,"[-1, 1, 1, -1, 1, -1, -1, -1, 1, -1]",-1
336,2018-09-14,"[1, 1, 1, 1, -1, -1, -1, 1, 1, -1]",1
337,2018-09-15,"[-1, -1, -1, 1, 1, 1, -1, -1, -1, 1]",-1
338,2018-09-16,"[1, 1, 1, -1, -1, -1, 1, 1, 1, 1]",1
339,2018-09-17,"[-1, 1, 1, 1, 1, -1, -1, 1, 1, -1]",1
340,2018-09-18,"[1, 1, -1, 1, -1, 1, -1, 1, -1, -1]",1
341,2018-09-19,"[1, 1, 1, -1, -1, -1, 1, 1, -1, 1]",1
342,2018-09-20,"[1, -1, -1, 1, -1, 1, -1, -1, -1, 1]",-1
343,2018-09-21,"[-1, -1, 1, 1, -1, -1, -1, 1, 1, 1]",1
344,2018-09-22,"[-1, -1, -1, -1, -1, 1, -1, 1, -1, 1]",-1
345,2018-09-23,"[-1, 1, -1, 1, -1, -1, 1, -1, -1, 1]",-1
346,2018-09-24,"[-1, 1, 1, -1, 1, 1, -1, -1, -1, 1]",1
347,2018-09-25,"[1, -1, 1, 1, -1, -1, 1, 1, -1, 1]",1
348,2018-09-26,"[-1, 1, -1, 1, -1, 1, 1, -1, -1, 1]",1
349,2018-09-27,"[-1, 1, 1, 1, 1, 1, 1, -1, -1, 1]",1
350,2018-09-28,"[1, 1, 1, 1, 1, 1, 1, -1, 1, -1]",1
351,2018-09-29,"[-1, -1, -1, 1, 1, -1, -1, -1, 1, -1]",-1
352,2018-09-30,"[-1, 1, -1, 1, 1, -1, 1, -1, 1, 1]",1
353,2018-10-01,"[1, -1, 1, 1, 1, 1, 1, -1, -1, -1]",1
354,2018-10-02,"[1, -1, -1, -1, -1, -1, -1, -1, 1, -1]",-1
355,2018-10-03,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1
356,2018-10-04,"[-1, -1, -1, -1, 1, -1, -1, 1, 1, 1]",-1
357,2018-10-05,"[-1, 1, 1, 1, 1, 1, -1, 1, 1, 1]",1
358,2018-10-06,"[1, 1, 1, 1, 1, 1, -1, -1, -1, 1]",1
359,2018-10-07,"[1, -1, 1, 1, 1, -1, 1, 1, 1, -1]",1
360,2018-10-08,"[1, 1, 1, -1, 1, 1, 1, 1, 1, -1]",1
361,2018-10-09,"[-1, 1, -1, 1, 1, 1, 1, -1, 1, -1]",1
362,2018-10-10,"[-1, -1, 1, -1, 1, 1, -1, -1, -1, 1]",-1
363,2018-10-11,"[1, 1, -1, 1, 1, 1, -1, 1, -1, -1]",1
364,2018-10-12,"[-1, 1, 1, -1, -1, -1, 1, -1, -1, 1]",-1
365,2018-10-13,"[-1, 1, 1, -1, -1, -1, -1, -1, 1, -1]",-1
366,2018-10-14,"[1, -1, -1, 1, -1, -1, 1, 1, 1, 1]",1
367,2018-10-15,"[-1, 1, -1, -1, -1, -1, 1, 1, 1, 1]",1
368,2018-10-16,"[-1, -1, -1, -1, 1, -1, 1, -1, 1, 1]",-1
369,2018-10-17,"[1, 1, 1, 1, 1, 1, 1, 1, 1, -1]",1
370,2018-10-18,"[1, 1, -1, -1, -1, 1, -1, -1, 1, 1]",1
371,2018-10-19,"[1, 1, -1, 1, -1, 1, -1, -1, -1, -1]",-1
372,2018-10-20,"[1, -1, -1, 1, 1, -1, -1, -1, 1, 1]",1
373,2018-10-21,"[-1, -1, -1, 1, -1, -1, 1, 1, 1, -1]",-1
374,2018-10-22,"[1, 1, 1, 1, -1, 1, -1, -1, -1, -1]",1
375,2018-10-23,"[-1, 1, 1, 1, 1, -1, 1, -1, -1, -1]",1
376,2018-10-24,"[-1, 1, -1, 1, 1, -1, 1, 1, 1, 1]",1
377,2018-10-25,"[1, 1, -1, -1, 1, -1, 1, 1, -1, 1]",1
378,2018-10-26,"[1, 1, -1, -1, 1, -1, -1, 1, 1, -1]",1
379,2018-10-27,"[-1, 1, 1, -1, 1, -1, 1, -1, -1, -1]",-1
380,2018-10-28,"[1, -1, -1, -1, 1, -1, 1, -1, 1, -1]",-1
381,2018-10-29,"[-1, 1, 1, 1, 1, -1, -1, -1, 1, 1]",1
382,2018-10-30,"[1, 1, 1, -1, -1, -1, 1, -1, -1, -1]",-1
383,2018-10-31,"[1, -1, 1, 1, -1, -1, 1, 1, 1, 1]",1
384,2018-11-01,"[1, 1, -1, 1, -1, -1, 1, -1, 1, 1]",1
385,2018-11-02,"[1, 1, -1, 1, 1, -1, -1, 1, 1, -1]",1
386,2018-11-03,"[-1, 1, -1, 1, -1, 1, -1, 1, 1, -1]",1
387,2018-11-04,"[-1, 1, -1, -1, -1, -1, 1, -1, 1, 1]",-1
388,2018-11-05,"[-1, 1, -1, 1, -1, 1, -1, -1, 1, 1]",1
389,2018-11-06,"[1, 1, 1, 1, -1, -1, 1, 1, -1, 1]",1
390,2018-11-07,"[1, 1, -1, -1, 1, 1, 1, 1, 1, 1]",1
391,2018-11-08,"[-1, 1, 1, -1, -1, -1, 1, -1, -1, 1]",-1
392,2018-11-09,"[-1, 1, 1, 1, 1, 1, 1, 1, -1, 1]",1
393,2018-11-10,"[-1, 1, 1, 1, -1, 1, 1, -1, 1, 1]",1
394,2018-11-11,"[-1, -1, 1, 1, 1, -1, 1, -1, 1, 1]",1
395,2018-11-12,"[-1, -1, 1, 1, 1, 1, 1, -1, -1, -1]",1
396,2018-11-13,"[1, 1, 1, 1, 1, 1, -1, 1, 1, 1]",1
397,2018-11-14,"[-1, 1, 1, 1, -1, -1, 1, 1, 1, 1]",1
398,2018-11-15,"[-1, 1, -1, -1, 1, 1, -1, -1, 1, -1]",-1
399,2018-11-16,"[-1, 1, 1, 1, 1, -1, 1, -1, -1, 1]",1
400,2018-11-17,"[-1, -1, 1, -1, -1, 1, -1, 1, -1, 1]",-1
401,2018-11-18,"[1, 1, -1, 1, -1, -1, -1, 1, -1, 1]",1
402,2018-11-19,"[1, 1, -1, -1, -1, 1, 1, 1, 1, -1]",1
403,2018-11-20,"[1, -1, 1, -1, -1, -1, 1, 1, 1, 1]",1
404,2018-11-21,"[-1, -1, -1, -1, 1, -1, 1, -1, 1, -1]",-1
405,2018-11-22,"[1, 1, -1, 1, -1, -1, 1, 1, 1, -1]",1
406,2018-11-23,"[1, -1, 1, -1, 1, -1, 1, 1, -1, 1]",1
407,2018-11-24,"[1, 1, 1, 1, -1, 1, 1, -1, 1, -1]",1
408,2018-11-25,"[1, -1, 1, -1, 1, -1, 1, -1, -1, 1]",1
409,2018-11-26,"[1, -1, 1, -1, 1, -1, 1, 1, -1, 1]",1
410,2018-11-27,"[-1, 1, 1, 1, 1, 1, 1, 1, -1, 1]",1
411,2018-11-28,"[1, 1, -1, 1, 1, 1, 1, 1, -1, 1]",1
412,2018-11-29,"[-1, -1, 1, -1, -1, 1, 1, 1, -1, -1]",-1
413,2018-11-30,"[-1, 1, -1, 1, -1, 1, 1, 1, 1, -1]",1
414,2018-12-01,"[1, 1, 1, 1, -1, 1, 1, 1, 1, 1]",1
415,2018-12-02,"[1, -1, 1, 1, -1, 1, -1, -1, 1, 1]",1
416,2018-12-03,"[1, -1, 1, 1, -1, -1, 1, 1, -1, -1]",1
417,2018-12-04,"[1, 1, -1, 1, -1, 1, 1, -1, 1, 1]",1
418,2018-12-05,"[-1, -1, 1, 1, 1, -1, 1, 1, -1, -1]",1
419,2018-12-06,"[1, 1, -1, -1, -1, 1, 1, 1, 1, 1]",1
420,2018-12-07,"[-1, -1, 1, 1, 1, 1, -1, -1, -1, 1]",1
421,2018-12-08,"[-1, -1, -1, -1, -1, -1, 1, 1, 1, 1]",-1
422,2018-12-09,"[-1, -1, -1, -1, -1, -1, -1, 1, 1, -1]",-1
423,2018-12-10,"[1, 1, -1, 1, 1, -1, -1, 1, 1, 1]",1
424,2018-12-11,"[1, -1, 1, -1, 1, 1, 1, -1, 1, 1]",1
425,2018-12-12,"[1, 1, -1, -1, -1, 1, 1, 1, 1, 1]",1
426,2018-12-13,"[1, 1, 1, 1, -1, -1, 1, 1, 1, 1]",1
427,2018-12-14,"[-1, -1, 1, 1, 1, 1, 1, 1, 1, 1]",1
428,2018-12-15,"[1, -1, -1, 1, -1, 1, -1, 1, -1, -1]",-1
429,2018-12-16,"[-1, 1, 1, 1, -1, 1, 1, 1, 1, -1]",1
430,2018-12-17,"[1, -1, -1, -1, 1, -1, -1, 1, 1, 1]",1
431,2018-12-18,"[1, -1, 1, -1, -1, -1, -1, -1, -1, 1]",-1
432,2018-12-19,"[-1, -1, -1, -1, -1, -1, 1, -1, 1, 1]",-1
433,2018-12-20,"[1, 1, -1, 1, -1, 1, 1, 1, 1, -1]",1
434,2018-12-21,"[-1, -1, -1, 1, 1, 1, 1, -1, 1, 1]",1
435,2018-12-22,"[1, -1, -1, 1, -1, 1, 1, -1, 1, 1]",1
436,2018-12-23,"[-1, 1, -1, -1, 1, 1, 1, 1, 1, 1]",1
437,2018-12-24,"[1, -1, -1, -1, 1, 1, 1, 1, 1, 1]",1
438,2018-12-25,"[-1, 1, 1, -1, -1, -1, 1, 1, -1, 1]",1
439,2018-12-26,"[1, 1, -1, 1, -1, -1, -1, -1, -1, 1]",-1
440,2018-12-27,"[1, -1, 1, 1, 1, -1, -1, 1, 1, -1]",1
441,2018-12-28,"[1, -1, 1, -1, 1, -1, 1, -1, 1, 1]",1
442,2018-12-29,"[-1, -1, -1, 1, 1, 1, -1, -1, -1, 1]",-1
443,2018-12-30,"[-1, 1, -1, -1, 1, 1, 1, 1, 1, 1]",1
444,2018-12-31,"[1, 1, -1, -1, -1, 1, 1, 1, 1, 1]",1
445,2019-01-01,"[-1, 1, -1, 1, 1, -1, 1, 1, 1, 1]",1
446,2019-01-02,"[-1, 1, -1, -1, -1, -1, 1, -1, -1, -1]",-1
447,2019-01-03,"[-1, 1, -1, 1, -1, -1, -1, 1, -1, 1]",-1
448,2019-01-04,"[-1, -1, 1, 1, 1, 1, 1, -1, 1, 1]",1
449,2019-01-05,"[-1, -1, 1, 1, -1, -1, -1, 1, 1, 1]",1
450,2019-01-06,"[1, 1, 1, 1, 1, -1, -1, 1, 1, 1]",1
451,2019-01-07,"[-1, 1, -1, -1, -1, -1, -1, -1, 1, -1]",-1
452,2019-01-08,"[1, -1, 1, 1, 1, 1, 1, 1, -1, 1]",1
453,2019-01-09,"[1, -1, -1, 1, 1, -1, 1, -1, 1, -1]",1
454,2019-01-10,"[1, -1, -1, 1, -1, -1, -1, 1, -1, 1]",-1
455,2019-01-11,"[1, -1, -1, 1, 1, -1, -1, 1, 1, -1]",1
456,2019-01-12,"[1, 1, -1, 1, 1, 1, -1, 1, -1, -1]",1
457,2019-01-13,"[1, -1, 1, 1, 1, -1, 1, -1, 1, 1]",1
458,2019-01-14,"[-1, -1, -1, -1, 1, 1, 1, -1, -1, -1]",-1
459,2019-01-15,"[1, 1, -1, 1, -1, 1, -1, -1, -1, 1]",1
460,2019-01-16,"[-1, -1, -1, -1, -1, 1, -1, -1, 1, 1]",-1
461,2019-01-17,"[-1, -1, -1, -1, -1, 1, -1, 1, 1, -1]",-1
462,2019-01-18,"[1, 1, 1, 1, -1, 1, -1, -1, 1, 1]",1
463,2019-01-19,"[-1, 1, 1, -1, 1, 1, -1, 1, 1, -1]",1
464,2019-01-20,"[-1, 1, 1, -1, -1, 1, -1, 1, -1, 1]",1
465,2019-01-21,"[1, 1, 1, 1, -1, 1, 1, 1, 1, 1]",1
466,2019-01-22,"[1, 1, -1, -1, 1, 1, -1, 1, 1, 1]",1
467,2019-01-23,"[1, 1, -1, 1, 1, 1, 1, 1, 1, 1]",1
468,2019-01-24,"[-1, -1, 1, 1, 1, 1, -1, 1, 1, 1]",1
469,2019-01-25,"[-1, -1, 1, 1, 1, 1, -1, -1, -1, 1]",1
470,2019-01-26,"[1, -1, -1, 1, -1, -1, -1, 1, 1, 1]",1
471,2019-01-27,"[-1, -1, -1, -1, 1, -1, -1, -1, -1, 1]",-1
472,2019-01-28,"[1, -1, -1, -1, -1, 1, 1, 1, 1, 1]",1
473,2019-01-29,"[-1, 1, 1, -1, -1, 1, 1, 1, 1, 1]",1
474,2019-01-30,"[-1, -1, 1, 1, -1, 1, -1, 1, 1, -1]",1
475,2019-01-31,"[-1, -1, -1, -1, -1, 1, 1, 1, 1, 1]",1
476,2019-02-01,"[-1, 1, 1, 1, -1, 1, 1, -1, 1, -1]",1
477,2019-02-02,"[1, -1, 1, 1, -1, 1, -1, 1, 1, 1]",1
478,2019-02-03,"[-1, 1, -1, 1, -1, -1, -1, -1, -1, -1]",-1
479,2019-02-04,"[1, -1, -1, -1, 1, 1, 1, 1, 1, 1]",1
480,2019-02-05,"[1, 1, -1, -1, 1, 1, 1, -1, -1, 1]",1
481,2019-02-06,"[1, 1, -1, 1, 1, 1, 1, 1, 1, -1]",1
482,2019-02-07,"[-1, 1, 1, -1, 1, 1, -1, 1, 1, -1]",1
483,2019-02-08,"[1, -1, 1, -1, 1, 1, 1, -1, 1, 1]",1
484,2019-02-09,"[-1, -1, -1, -1, 1, -1, -1, -1, -1, 1]",-1
485,2019-02-10,"[-1, -1, -1, -1, -1, -1, 1, -1, -1, 1]",-1
486,2019-02-11,"[-1, -1, -1, -1, 1, 1, 1, -1, 1, -1]",-1
487,2019-02-12,"[-1, -1, -1, -1, 1, 1, -1, 1, 1, 1]",1
488,2019-02-13,"[-1, -1, -1, -1, -1, 1, 1, 1, -1, -1]",-1
489,2019-02-14,"[1, -1, -1, -1, -1, -1, 1, -1, -1, 1]",-1
490,2019-02-15,"[-1, 1, -1, 1, 1, -1, -1, -1, 1, 1]",1
491,2019-02-16,"[-1, -1, -1, -1, -1, -1, 1, 1, 1, 1]",-1
492,2019-02-17,"[-1, 1, 1, 1, 1, -1, -1, -1, -1, -1]",-1
493,2019-02-18,"[1, -1, 1, 1, 1, -1, 1, -1, 1, 1]",1
494,2019-02-19,"[-1, -1, 1, -1, -1, 1, -1, -1, -1, 1]",-1
495,2019-02-20,"[-1, 1, -1, -1, -1, 1, -1, 1, 1, 1]",1
496,2019-02-21,"[1, -1, 1, 1, 1, 1, -1, 1, -1, -1]",1
497,2019-02-22,"[1, -1, 1, 1, -1, -1, 1, 1, 1, 1]",1
498,2019-02-23,"[1, -1, -1, -1, -1, 1, -1, 1, -1, 1]",-1
499,2019-02-24,"[-1, -1, 1, -1, 1, 1, 1, -1, 1, -1]",1
500,2019-02-25,"[1, 1, 1, 1, 1, -1, 1, -1, -1, -1]",1
501,2019-02-26,"[1, -1, 1, 1, 1, -1, -1, -1, 1, 1]",1
502,2019-02-27,"[1, -1, -1, -1, -1, -1, 1, 1, 1, 1]",1
503,2019-02-28,"[-1, 1, 1, -1, -1, -1, 1, -1, -1, -1]",-1
504,2019-03-01,"[-1, 1, -1, 1, -1, -1, 1, 1, 1, -1]",1
505,2019-03-02,"[-1, -1, 1, -1, -1, 1, -1, 1, -1, -1]",-1
506,2019-03-03,"[1, 1, 1, 1, -1, -1, 1, 1, 1, 1]",1
507,2019-03-04,"[-1, 1, 1, 1, 1, 1, 1, -1, 1, -1]",1
508,2019-03-05,"[-1, 1, 1, -1, 1, -1, 1, 1, 1, -1]",1
509,2019-03-06,"[1, 1, -1, -1, 1, -1, -1, 1, 1, -1]",1
510,2019-03-07,"[1, -1, 1, -1, -1, 1, 1, 1, -1, 1]",1
511,2019-03-08,"[-1, 1, 1, -1, 1, -1, -1, -1, 1, -1]",-1
512,2019-03-09,"[-1, 1, -1, -1, -1, 1, 1, -1, -1, 1]",-1
513,2019-03-10,"[1, 1, 1, 1, -1, 1, 1, -1, 1, 1]",1
514,2019-03-11,"[1, 1, -1, -1, 1, -1, 1, 1, -1, -1]",1
515,2019-03-12,"[1, -1, -1, 1, -1, 1, 1, -1, 1, -1]",1
516,2019-03-13,"[-1, -1, 1, 1, 1, 1, -1, -1, 1, 1]",1
517,2019-03-14,"[1, 1, 1, -1, -1, -1, -1, 1, -1, -1]",-1
518,2019-03-15,"[1, -1, -1, 1, -1, 1, -1, 1, 1, 1]",1
519,2019-03-16,"[1, 1, 1, -1, 1, -1, 1, 1, -1, 1]",1
520,2019-03-17,"[-1, -1, -1, 1, 1, -1, -1, -1, -1, -1]",-1
521,2019-03-18,"[1, 1, -1, 1, 1, 1, 1, -1, 1, -1]",1
522,2019-03-19,"[-1, 1, 1, 1, 1, -1, -1, -1, 1, 1]",1
523,2019-03-20,"[-1, -1, 1, 1, -1, 1, 1, -1, -1, -1]",-1
524,2019-03-21,"[1, 1, -1, -1, 1, 1, 1, -1, 1, 1]",1
525,2019-03-22,"[-1, -1, 1, 1, -1, -1, 1, -1, 1, 1]",1
526,2019-03-23,"[1, -1, -1, 1, 1, 1, 1, -1, 1, -1]",1
527,2019-03-24,"[-1, 1, 1, 1, -1, -1, -1, -1, 1, -1]",-1
528,2019-03-25,"[1, -1, 1, 1, 1, -1, -1, -1, -1, 1]",1
529,2019-03-26,"[1, 1, -1, 1, 1, 1, 1, 1, -1, -1]",1
530,2019-03-27,"[1, -1, -1, 1, -1, -1, 1, -1, -1, -1]",-1
531,2019-03-28,"[1, -1, 1, 1, 1, -1, 1, -1, -1, 1]",1
532,2019-03-29,"[1, 1, 1, 1, 1, 1, 1, -1, 1, 1]",1
533,2019-03-30,"[-1, 1, -1, 1, 1, -1, 1, 1, -1, 1]",1
534,2019-03-31,"[1, 1, -1, 1, -1, 1, 1, 1, -1, -1]",1
535,2019-04-01,"[1, 1, 1, 1, -1, 1, -1, -1, 1, 1]",1
536,2019-04-02,"[1, 1, 1, 1, -1, -1, -1, -1, -1, -1]",-1
537,2019-04-03,"[1, -1, -1, -1, -1, 1, 1, 1, 1, 1]",1
538,2019-04-04,"[1, 1, 1, 1, 1, 1, -1, -1, -1, 1]",1
539,2019-04-05,"[1, -1, 1, 1, 1, 1, -1, -1, -1, -1]",1
540,2019-04-06,"[1, 1, 1, 1, 1, -1, -1, -1, 1, -1]",1
541,2019-04-07,"[1, 1, 1, -1, 1, 1, -1, 1, 1, 1]",1
542,2019-04-08,"[1, -1, 1, 1, 1, 1, 1, -1, 1, -1]",1
543,2019-04-09,"[-1, -1, 1, -1, 1, -1, 1, -1, 1, 1]",1
544,2019-04-10,"[1, 1, -1, 1, 1, -1, -1, -1, 1, 1]",1
545,2019-04-11,"[-1, 1, 1, -1, 1, 1, 1, 1, 1, -1]",1
546,2019-04-12,"[-1, -1, -1, 1, 1, 1, 1, -1, -1, -1]",-1
547,2019-04-13,"[1, 1, -1, 1, 1, -1, 1, 1, 1, -1]",1
548,2019-04-14,"[1, 1, 1, 1, -1, 1, -1, 1, 1, 1]",1
549,2019-04-15,"[-1, 1, 1, 1, 1, 1, -1, -1, -1, 1]",1
550,2019-04-16,"[1, 1, 1, 1, -1, -1, 1, -1, -1, 1]",1
551,2019-04-17,"[-1, 1, 1, 1, 1, 1, -1, 1, 1, -1]",1
552,2019-04-18,"[-1, -1, 1, -1, -1, -1, -1, 1, 1, 1]",-1
553,2019-04-19,"[1, 1, 1, -1, -1, 1, -1, -1, 1, -1]",1
554,2019-04-20,"[1, 1, 1, 1, 1, -1, 1, 1, -1, 1]",1
555,2019-04-21,"[1, 1, -1, 1, -1, 1, 1, 1, 1, -1]",1
556,2019-04-22,"[1, -1, 1, 1, 1, 1, 1, -1, 1, 1]",1
557,2019-04-23,"[-1, 1, 1, -1, 1, 1, -1, 1, 1, -1]",1
558,2019-04-24,"[1, -1, 1, 1, 1, 1, 1, 1, -1, 1]",1
559,2019-04-25,"[-1, -1, 1, 1, 1, 1, -1, 1, 1, 1]",1
560,2019-04-26,"[1, -1, 1, 1, -1, -1, 1, -1, -1, 1]",1
561,2019-04-27,"[1, -1, 1, -1, 1, 1, 1, -1, -1, 1]",1
562,2019-04-28,"[1, -1, -1, 1, 1, -1, 1, 1, -1, 1]",1
563,2019-04-29,"[1, 1, 1, 1, 1, 1, -1, 1, 1, -1]",1
564,2019-04-30,"[1, 1, -1, -1, -1, 1, -1, -1, -1, -1]",-1
565,2019-05-01,"[-1, 1, 1, 1, 1, 1, 1, -1, -1, -1]",1
566,2019-05-02,"[1, -1, 1, 1, -1, -1, 1, 1, -1, -1]",1
567,2019-05-03,"[1, -1, 1, -1, -1, 1, -1, 1, -1, 1]",1
568,2019-05-04,"[-1, -1, -1, 1, -1, -1, -1, -1, -1, -1]",-1
569,2019-05-05,"[1, -1, -1, 1, 1, -1, -1, -1, 1, 1]",1
570,2019-05-06,"[1, 1, 1, 1, 1, -1, 1, 1, -1, 1]",1
571,2019-05-07,"[1, 1, -1, 1, 1, -1, 1, 1, 1, 1]",1
572,2019-05-08,"[-1, 1, 1, 1, -1, -1, -1, 1, -1, 1]",1
573,2019-05-09,"[-1, 1, -1, 1, 1, 1, 1, -1, 1, -1]",1
574,2019-05-10,"[1, 1, 1, -1, -1, 1, 1, -1, -1, -1]",1
575,2019-05-11,"[1, 1, 1, 1, 1, -1, 1, 1, 1, 1]",1
576,2019-05-12,"[-1, -1, 1, -1, -1, -1, -1, 1, 1, -1]",-1
577,2019-05-13,"[1, -1, 1, -1, 1, 1, -1, 1, -1, -1]",1
578,2019-05-14,"[-1, -1, 1, 1, -1, 1, -1, -1, 1, -1]",-1
579,2019-05-15,"[1, 1, -1, 1, 1, -1, 1, -1, -1, 1]",1
580,2019-05-16,"[-1, -1, -1, -1, 1, 1, -1, 1, 1, -1]",-1
581,2019-05-17,"[-1, -1, -1, -1, -1, 1, 1, 1, 1, -1]",-1
582,2019-05-18,"[1, -1, 1, 1, 1, 1, 1, 1, -1, 1]",1
583,2019-05-19,"[-1, 1, 1, 1, 1, -1, 1, -1, -1, 1]",1
584,2019-05-20,"[-1, -1, 1, 1, 1, -1, -1, -1, 1, 1]",1
585,2019-05-21,"[-1, -1, -1, 1, 1, 1, 1, -1, -1, -1]",-1
586,2019-05-22,"[1, -1, 1, 1, 1, 1, -1, 1, 1, 1]",1
587,2019-05-23,"[1, 1, -1, -1, -1, 1, -1, 1, -1, 1]",1
588,2019-05-24,"[-1, 1, 1, -1, -1, -1, -1, 1, 1, 1]",1
589,2019-05-25,"[1, 1, -1, 1, -1, 1, 1, 1, -1, 1]",1
590,2019-05-26,"[1, 1, 1, -1, -1, -1, -1, 1, -1, 1]",1
591,2019-05-27,"[1, 1, -1, -1, 1, -1, 1, -1, 1, 1]",1
592,2019-05-28,"[-1, 1, -1, 1, 1, -1, 1, 1, -1, 1]",1
593,2019-05-29,"[1, 1, -1, 1, -1, 1, 1, 1, 1, 1]",1
594,2019-05-30,"[-1, -1, 1, 1, 1, 1, -1, 1, 1, 1]",1
595,2019-05-31,"[1, 1, 1, 1, -1, 1, 1, -1, 1, 1]",1
596,2019-06-01,"[1, -1, 1, 1, -1, 1, 1, 1, 1, -1]",1
597,2019-06-02,"[-1, -1, 1, 1, -1, -1, 1, 1, 1, 1]",1
598,2019-06-03,"[1, -1, -1, 1, 1, 1, 1, -1, 1, 1]",1
599,2019-06-04,"[-1, 1, 1, 1, 1, -1, -1, 1, 1, 1]",1
600,2019-06-05,"[-1, 1, -1, 1, 1, 1, 1, -1, -1, 1]",1
601,2019-06-06,"[1, 1, -1, -1, 1, -1, 1, 1, -1, -1]",1
602,2019-06-07,"[1, 1, 1, -1, 1, 1, -1, -1, 1, -1]",1
603,2019-06-08,"[1, -1, 1, -1, -1, 1, 1, -1, 1, 1]",1
604,2019-06-09,"[1, -1, -1, 1, 1, -1, 1, 1, 1, 1]",1
605,2019-06-10,"[1, 1, -1, 1, -1, 1, 1, 1, -1, -1]",1
606,2019-06-11,"[1, -1, 1, 1, 1, 1, 1, 1, 1, -1]",1
607,2019-06-12,"[-1, 1, 1, 1, 1, 1, -1, -1, -1, 1]",1
608,2019-06-13,"[1, -1, -1, 1, 1, -1, 1, -1, 1, 1]",1
609,2019-06-14,"[1, 1, -1, -1, -1, 1, 1, 1, -1, 1]",1
610,2019-06-15,"[-1, -1, -1, -1, 1, 1, -1, 1, -1, 1]",-1
611,2019-06-16,"[1, 1, 1, -1, 1, 1, 1, 1, -1, -1]",1
612,2019-06-17,"[-1, -1, 1, 1, 1, -1, -1, 1, 1, 1]",1
613,2019-06-18,"[1, 1, 1, -1, -1, -1, -1, 1, 1, -1]",1
614,2019-06-19,"[-1, -1, 1, 1, -1, 1, -1, 1, -1, 1]",1
615,2019-06-20,"[1, -1, -1, 1, -1, 1, 1, 1, 1, -1]",1
616,2019-06-21,"[-1, -1, -1, 1, 1, 1, 1, -1, -1, -1]",-1
617,2019-06-22,"[-1, 1, 1, 1, 1, 1, 1, -1, -1, -1]",1
618,2019-06-23,"[1, 1, -1, -1, -1, 1, 1, 1, 1, -1]",1
619,2019-06-24,"[1, -1, 1, -1, 1, 1, 1, 1, -1, 1]",1
620,2019-06-25,"[-1, 1, 1, 1, 1, -1, 1, 1, 1, -1]",1
621,2019-06-26,"[-1, -1, 1, 1, 1, 1, 1, 1, 1, 1]",1
622,2019-06-27,"[1, 1, 1, 1, 1, 1, 1, 1, -1, -1]",1
623,2019-06-28,"[1, 1, -1, -1, 1, 1, 1, 1, 1, -1]",1
624,2019-06-29,"[1, 1, 1, -1, 1, -1, -1, -1, -1, 1]",1
625,2019-06-30,"[-1, 1, 1, 1, 1, -1, 1, 1, 1, 1]",1
626,2019-07-01,"[1, -1, 1, 1, -1, 1, 1, 1, 1, -1]",1
627,2019-07-02,"[-1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1
628,2019-07-03,"[-1, 1, -1, 1, -1, 1, 1, -1, 1, 1]",1
629,2019-07-04,"[1, -1, 1, 1, 1, -1, 1, 1, -1, 1]",1
630,2019-07-05,"[1, 1, 1, 1, 1, -1, 1, -1, 1, -1]",1
631,2019-07-06,"[-1, -1, 1, -1, -1, 1, 1, 1, 1, -1]",1
632,2019-07-07,"[-1, 1, 1, 1, 1, 1, 1, -1, 1, 1]",1
633,2019-07-08,"[-1, 1, -1, 1, 1, -1, -1, -1, -1, -1]",-1
634,2019-07-09,"[1, -1, 1, 1, 1, 1, 1, 1, 1, 1]",1
635,2019-07-10,"[-1, 1, 1, -1, -1, -1, 1, 1, 1, -1]",1
636,2019-07-11,"[-1, -1, 1, -1, 1, -1, 1, 1, -1, 1]",1
637,2019-07-12,"[1, 1, 1, -1, 1, 1, 1, -1, -1, -1]",1
638,2019-07-13,"[-1, 1, 1, -1, -1, 1, -1, 1, 1, -1]",1
639,2019-07-14,"[1, -1, 1, 1, 1, 1, 1, -1, 1, 1]",1
